X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
,,"747118272",way,21.875,hospital,hospital,Centre de santé Raoul Fol,,"UNICEF,2012",,private,,,,,,,,,,,,,,,,,,,Bossangoa,141327887,5,2023/09/16 06:22:04+00,77f9d56126e342f2b3b75e3c000c7907
,,"189662266",way,15.625,hospital,hospital,ACABEF,,Bing,,,,,,,,,,,,,,,,,,,,,,84320144,3,2020/04/29 08:19:15+00,e1e64b6c6cca479aa025a8f69c4958ef
15.9936158541463,6.68962051834211,"2420714751",node,18.75,hospital,,PS Herba,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Herba,141327887,4,2023/09/16 06:22:04+00,9916df50c9c34ad284903dbcdf8b8d0c
,,"261242536",way,21.875,hospital,hospital,Poste de Santé de Ngadja,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Ngadja,84209828,3,2020/04/27 16:18:11+00,2f7ee6f685e74c248e5e97780523d06b
,,"261559269",way,18.75,doctors,,Poste de Santé de Nzole,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Nzole,88789830,4,2020/07/31 15:40:17+00,8c2d57c1d0a5449aa3329e2c1c118f3f
,,"265221408",way,18.75,doctors,,Poste de Santé de Komo-Bombo,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Komo-Bombo,88789830,4,2020/07/31 15:40:17+00,4150b2a4cbbc4528847c34a16af33136
,,"312168398",way,12.5,hospital,hospital,Poste Sante Diguandigui,,,,,,,,,,,,,,,,,,,,,,,,84320144,2,2020/04/29 08:19:15+00,c262b1c3bede493a9225a2be46a721d2
14.8238999762483,5.78800995555181,"2663468486",node,18.75,doctors,,Centre de Santé de Baboua,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Baboua,88789830,2,2020/07/31 15:40:17+00,5f53d6065fb3401d853f59fcff9e45a2
16.4825049412531,4.43868699172791,"2660732746",node,18.75,doctors,,Centre de Santé de Mboula,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Mboula,98469292,2,2021/01/31 22:22:55+00,a5c874bac680461f90a35712b801fbc5
,,"261565272",way,18.75,doctors,,Poste de Santé de Pougol,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Pougol,88789830,4,2020/07/31 15:40:17+00,a18738b5baaf415a8fbe207e48b7fe01
